name,telescope,exptime,jd,date,filename,note,nimages
dark_2460188_60s,B&C,60.0,2460188.7774209143,2023-09-01T06:25:46.57,/local/jack/src/Pouakai/output/master/dark/dark_2460188_60s.fits.gz,good,10.0
dark_2460188_300s,B&C,300.0,2460188.7795925923,2023-09-01T07:05:27.45,/local/jack/src/Pouakai/output/master/dark/dark_2460188_300s.fits.gz,good,10.0
dark_2460188_120s,B&C,120.0,2460188.778159502,2023-09-01T06:26:50.39,/local/jack/src/Pouakai/output/master/dark/dark_2460188_120s.fits.gz,good,10.0
dark_2460188_10s,B&C,10.0,2460188.777260694,2023-09-01T05:58:10.20,/local/jack/src/Pouakai/output/master/dark/dark_2460188_10s.fits.gz,good,10.0
dark_2460188_0s,B&C,0.0,2460188.780226548,2023-09-01T06:07:14.26,/local/jack/src/Pouakai/output/master/dark/dark_2460188_0s.fits.gz,good,100.0
dark_2460136_8s,B&C,8.0,2460136.933509587,2023-07-11T11:40:11.83,/local/jack/src/Pouakai/output/master/dark/dark_2460136_8s.fits.gz,good,6.0
dark_2460136_7s,B&C,7.0,2460136.8812081018,2023-07-11T09:05:13.34,/local/jack/src/Pouakai/output/master/dark/dark_2460136_7s.fits.gz,good,3.0
dark_2460136_4s,B&C,4.0,2460136.8816949464,2023-07-11T09:05:55.34,/local/jack/src/Pouakai/output/master/dark/dark_2460136_4s.fits.gz,good,3.0
dark_2460136_2s,B&C,2.0,2460136.882513812,2023-07-11T09:07:06.16,/local/jack/src/Pouakai/output/master/dark/dark_2460136_2s.fits.gz,good,3.0
dark_2460136_1s,B&C,1.0,2460136.882658218,2023-07-11T09:14:44.77,/local/jack/src/Pouakai/output/master/dark/dark_2460136_1s.fits.gz,good,3.0
dark_2460136_17s,B&C,17.0,2460136.880335185,2023-07-11T09:11:24.09,/local/jack/src/Pouakai/output/master/dark/dark_2460136_17s.fits.gz,good,3.0
dark_2460136_15s,B&C,15.0,2460136.8806537422,2023-07-11T09:04:25.40,/local/jack/src/Pouakai/output/master/dark/dark_2460136_15s.fits.gz,good,3.0
dark_2460136_12s,B&C,12.0,2460136.8809484183,2023-07-11T09:12:17.02,/local/jack/src/Pouakai/output/master/dark/dark_2460136_12s.fits.gz,good,3.0
dark_2460136_10s,B&C,10.0,2460136.8822765048,2023-07-11T09:10:28.59,/local/jack/src/Pouakai/output/master/dark/dark_2460136_10s.fits.gz,good,3.0
dark_2460136_0s,B&C,0.5,2460136.8827910884,2023-07-11T09:07:30.09,/local/jack/src/Pouakai/output/master/dark/dark_2460136_0s.fits.gz,good,3.0
dark_2460123_300s,B&C,300.0,2460123.04405324,2023-06-27T12:52:42.45,/local/jack/src/Pouakai/output/master/dark/dark_2460123_300s.fits.gz,good,3.0
dark_2460123_2s,B&C,2.0,2460123.047646373,2023-06-27T13:19:20.39,/local/jack/src/Pouakai/output/master/dark/dark_2460123_2s.fits.gz,good,3.0
dark_2460123_180s,B&C,180.0,2460123.0493,2023-06-27T13:00:15.77,/local/jack/src/Pouakai/output/master/dark/dark_2460123_180s.fits.gz,good,3.0
dark_2460123_120s,B&C,120.0,2460123.0477903546,2023-06-27T13:19:32.83,/local/jack/src/Pouakai/output/master/dark/dark_2460123_120s.fits.gz,good,3.0
dark_2460053_60s,B&C,60.0,2460053.94160679,2023-04-19T09:55:10.78,/local/jack/src/Pouakai/output/master/dark/dark_2460053_60s.fits.gz,good,3.0
dark_2460053_300s,B&C,300.0,2460053.9141350696,2023-04-19T09:56:21.27,/local/jack/src/Pouakai/output/master/dark/dark_2460053_300s.fits.gz,bad,1.0
dark_2460053_120s,B&C,120.0,2460053.9564299765,2023-04-19T10:56:52.07,/local/jack/src/Pouakai/output/master/dark/dark_2460053_120s.fits.gz,good,3.0
dark_2460053_10s,B&C,10.0,2460053.9579396606,2023-04-19T10:59:02.50,/local/jack/src/Pouakai/output/master/dark/dark_2460053_10s.fits.gz,good,3.0
dark_2459917_5s,B&C,5.0,2459917.9122061343,2022-12-04T09:49:55.40,/local/jack/src/Pouakai/output/master/dark/dark_2459917_5s.fits.gz,bad,2.0
dark_2459917_20s,B&C,20.0,2459917.91259321,2022-12-04T09:54:02.89,/local/jack/src/Pouakai/output/master/dark/dark_2459917_20s.fits.gz,good,3.0
dark_2459917_150s,B&C,150.0,2459917.912945756,2022-12-04T09:54:33.39,/local/jack/src/Pouakai/output/master/dark/dark_2459917_150s.fits.gz,good,3.0
dark_2459917_10s,B&C,10.0,2459917.912356713,2022-12-04T09:57:29.26,/local/jack/src/Pouakai/output/master/dark/dark_2459917_10s.fits.gz,good,3.0
dark_2459831_15s,B&C,15.0,2459831.8789227144,2022-09-09T09:03:30.10,/local/jack/src/Pouakai/output/master/dark/dark_2459831_15s.fits.gz,good,20.0
dark_2459825_5s,B&C,5.0,2459825.9027733244,2022-09-03T09:13:18.64,/local/jack/src/Pouakai/output/master/dark/dark_2459825_5s.fits.gz,good,19.0
dark_2459825_30s,B&C,30.0,2459825.923447222,2022-09-03T09:59:22.06,/local/jack/src/Pouakai/output/master/dark/dark_2459825_30s.fits.gz,good,9.0
dark_2459825_2s,B&C,2.0,2459825.902705141,2022-09-03T10:04:47.32,/local/jack/src/Pouakai/output/master/dark/dark_2459825_2s.fits.gz,good,19.0
dark_2459825_150s,B&C,150.0,2459825.925107112,2022-09-03T09:50:53.00,/local/jack/src/Pouakai/output/master/dark/dark_2459825_150s.fits.gz,good,9.0
dark_2459825_120s,B&C,120.0,2459825.9023476266,2022-09-03T09:57:03.43,/local/jack/src/Pouakai/output/master/dark/dark_2459825_120s.fits.gz,good,18.0
dark_2459825_10s,B&C,10.0,2459825.9024159145,2022-09-03T09:04:48.51,/local/jack/src/Pouakai/output/master/dark/dark_2459825_10s.fits.gz,good,18.0
dark_2459822_300s,B&C,300.0,2459821.7874397337,2022-08-30T18:18:38.90,/local/jack/src/Pouakai/output/master/dark/dark_2459822_300s.fits.gz,good,30.0
dark_2459822_150s,B&C,150.0,2459822.22835934,2022-08-30T17:22:25.72,/local/jack/src/Pouakai/output/master/dark/dark_2459822_150s.fits.gz,good,10.0
dark_2459821_5s,B&C,5.0,2459821.312467744,2022-08-29T19:56:34.13,/local/jack/src/Pouakai/output/master/dark/dark_2459821_5s.fits.gz,good,10.0
dark_2459821_30s,B&C,30.0,2459821.8156456137,2022-08-30T07:34:14.87,/local/jack/src/Pouakai/output/master/dark/dark_2459821_30s.fits.gz,good,10.0
dark_2459821_300s,B&C,300.0,2459821.5540813017,2022-08-29T19:13:28.91,/local/jack/src/Pouakai/output/master/dark/dark_2459821_300s.fits.gz,good,20.0
dark_2459821_2s,B&C,2.0,2459821.3127302546,2022-08-29T20:04:33.00,/local/jack/src/Pouakai/output/master/dark/dark_2459821_2s.fits.gz,good,10.0
dark_2459821_120s,B&C,120.0,2459821.3127978244,2022-08-29T19:19:01.41,/local/jack/src/Pouakai/output/master/dark/dark_2459821_120s.fits.gz,good,10.0
dark_2459821_10s,B&C,10.0,2459821.3125701733,2022-08-29T19:41:30.46,/local/jack/src/Pouakai/output/master/dark/dark_2459821_10s.fits.gz,good,10.0
dark_2459698_6s,B&C,6.0,2459698.266540764,2022-04-28T18:24:36.34,/local/jack/src/Pouakai/output/master/dark/dark_2459698_6s.fits.gz,good,10.0
dark_2459698_5s,B&C,5.0,2459698.2666558563,2022-04-28T18:23:49.65,/local/jack/src/Pouakai/output/master/dark/dark_2459698_5s.fits.gz,good,10.0
dark_2459697_60s,B&C,60.0,2459697.2156209666,2022-04-28T05:15:33.53,/local/jack/src/Pouakai/output/master/dark/dark_2459697_60s.fits.gz,good,20.0
dark_2459697_300s,B&C,300.0,2459697.212099178,2022-04-27T05:06:53.51,/local/jack/src/Pouakai/output/master/dark/dark_2459697_300s.fits.gz,good,20.0
dark_2459696_60s,B&C,60.0,2459696.7233739235,2022-04-27T05:44:18.95,/local/jack/src/Pouakai/output/master/dark/dark_2459696_60s.fits.gz,good,10.0
dark_2459696_300s,B&C,300.0,2459696.7198524075,2022-04-27T05:06:53.51,/local/jack/src/Pouakai/output/master/dark/dark_2459696_300s.fits.gz,good,10.0
