name,band,telescope,exptime,jd,date,filename,dark_file,time_diff,nimages,flat_type,note
flat_2460273_60d_r,r,B&C,18.0,2460273,2023-11-17T16:25:47.93,/local/jack/src/Pouakai/output/master/flat/flat_2460273_60d_r.fits.gz,,,12,,good
flat_2460273_60d_i,i,B&C,5.0,2460273,2023-11-25T08:26:35.10,/local/jack/src/Pouakai/output/master/flat/flat_2460273_60d_i.fits.gz,,,8,,good
flat_2460273_60d_g,g,B&C,25.0,2460273,2023-11-20T08:27:41.39,/local/jack/src/Pouakai/output/master/flat/flat_2460273_60d_g.fits.gz,,,25,,good
flat_2460268_60d_g,g,B&C,25.0,2460268,2023-11-20T08:27:41.39,/local/jack/src/Pouakai/output/master/flat/flat_2460268_60d_g.fits.gz,,,17,,good
flat_2460268_60d_V,V,B&C,10.0,2460268,2023-11-17T16:31:16.87,/local/jack/src/Pouakai/output/master/flat/flat_2460268_60d_V.fits.gz,,,12,,good
flat_2460268_60d_R,R,B&C,2.0,2460268,2023-11-17T16:35:57.49,/local/jack/src/Pouakai/output/master/flat/flat_2460268_60d_R.fits.gz,,,20,,good
flat_2460266_60d_r,r,B&C,18.0,2460266,2023-11-17T16:25:47.93,/local/jack/src/Pouakai/output/master/flat/flat_2460266_60d_r.fits.gz,,,8,,good
flat_2460266_60d_g,g,B&C,40.0,2460266,2023-11-17T16:18:15.31,/local/jack/src/Pouakai/output/master/flat/flat_2460266_60d_g.fits.gz,,,6,,good
flat_2460266_60d_V,V,B&C,10.0,2460266,2023-11-17T16:31:16.87,/local/jack/src/Pouakai/output/master/flat/flat_2460266_60d_V.fits.gz,,,6,,good
flat_2460266_60d_R,R,B&C,2.0,2460266,2023-11-17T16:35:57.49,/local/jack/src/Pouakai/output/master/flat/flat_2460266_60d_R.fits.gz,,,11,,good
